codmun,latitude,longitude,county,country
1,10.08727363,-84.22894479,Cantón Poás,costarica
2,10.22768878,-84.40827792,Cantón Zarcero,costarica
3,9.980811958,-84.40387793,Cantón Atenas,costarica
4,10.30506264,-84.23938609,Cantón Río Cuarto,costarica
5,10.69703703,-84.84430266,Cantón Guatuso,costarica
6,10.88495137,-84.66816094,Cantón Los Chiles,costarica
7,10.12387256,-84.38448978,Cantón Naranjo,costarica
8,9.897136029,-84.5761118,Cantón Orotina,costarica
9,10.05520747,-84.43510156,Cantón Palmares,costarica
10,10.11232786,-84.24073133,Cantón Poás,costarica
11,10.59229427,-84.43382667,Cantón San Carlos,costarica
12,9.96608388,-84.54217671,Cantón San Mateo,costarica
13,10.24128642,-84.60155671,Cantón San Ramón,costarica
14,10.88779449,-85.1480796,Cantón Upala,costarica
15,10.18489644,-84.30017786,Toro Amarillo,costarica
16,9.947524485,-83.80039988,Cantón Alvarado,costarica
17,9.825007092,-83.92461678,Cantón Cartago,costarica
18,9.751128209,-83.9234723,Cantón El Guarco,costarica
19,9.798241905,-83.70157393,Cantón Jiménez,costarica
20,9.92065929,-83.98087576,Cantón La Unión,costarica
21,10.0077467,-83.86287737,Cantón Oreamuno,costarica
22,9.724153205,-83.77155445,Cantón Paraíso,costarica
23,9.823767631,-83.54448446,Cantón Turrialba,costarica
24,10.25790886,-85.00229993,Cantón Abangares,costarica
25,10.54105394,-85.26457781,Cantón Bagaces,costarica
26,10.45398405,-85.10954059,Cantón Cañas,costarica
27,10.46988172,-85.60111943,Cantón Carrillo,costarica
28,9.984234386,-85.40802838,Cantón Hojancha,costarica
29,11.00628996,-85.58858326,Cantón La Cruz,costarica
30,10.71660337,-85.4931073,Cantón Liberia,costarica
31,9.925519823,-85.28471244,Cantón Nandayure,costarica
32,10.12043485,-85.46049464,Cantón Nicoya,costarica
33,10.2546542,-85.68882418,Cantón Santa Cruz,costarica
34,10.48257887,-84.92912231,Cantón Tilarán,costarica
35,10.08418546,-84.1153216,Cantón Barva,costarica
36,9.986365408,-84.17280569,Cantón Belén,costarica
37,10.01542614,-84.15128439,Cantón Flores,costarica
38,10.15528604,-84.07282643,Cantón Heredia,costarica
39,10.03292283,-84.04077699,Cantón San Isidro,costarica
40,10.00076908,-84.09267225,Cantón San Pablo,costarica
41,10.0585786,-84.07522724,Cantón San Rafael,costarica
42,10.09289263,-84.15084274,Cantón Santa Bárbara,costarica
43,9.994901625,-84.05706335,Cantón Santo Domingo,costarica
44,10.49990275,-83.99646961,Cantón Sarapiquí,costarica
45,10.21088462,-83.6436758,Cantón Guácimo,costarica
46,9.77209632,-83.15811896,Cantón Limón,costarica
47,10.01981754,-83.28922992,Cantón Matina,costarica
48,10.46791588,-83.68377632,Cantón Pococí,costarica
49,10.14128397,-83.48304549,Cantón Siquirres,costarica
50,9.480896664,-83.08364429,Cantón Talamanca,costarica
51,9.427319572,-84.05635011,Cantón Quepos,costarica
52,9.113725854,-83.24411411,Cantón Buenos Aires,costarica
53,8.545823878,-82.92493219,Cantón Corredores,costarica
54,8.909443656,-82.91398047,Cantón Coto Brus,costarica
55,9.989855074,-84.65559952,Cantón Esparza,costarica
56,9.713716715,-84.61282932,Cantón Garabito,costarica
57,8.55463057,-83.22254586,Cantón Golfito,costarica
58,10.12748325,-84.72770399,Cantón Montes de Oro,costarica
59,8.849085684,-83.49848943,Cantón Osa,costarica
60,9.564606253,-84.32866736,Cantón Parrita,costarica
61,9.887897675,-85.02258534,Cantón Puntarenas,costarica
62,9.744437073,-84.2308857,Cantón Acosta,costarica
63,9.893497501,-84.11549113,Cantón Alajuelita,costarica
64,9.746250077,-84.13824376,Cantón Aserrí,costarica
1,5.451793685,7.509135766,Umuahia South,nigeria
2,9.344003181,12.44461275,Girei,nigeria
3,4.912295099,7.838176699,Etinan,nigeria
4,6.208220958,6.930591544,Oyi,nigeria
5,10.7756404,9.988410053,Ganjuwa,nigeria
6,4.76781297,6.105268249,Southern Ijaw,nigeria
7,7.324381316,8.758107694,Gboko,nigeria
8,11.89428607,13.17643766,Jere,nigeria
9,5.856440859,8.581300514,Ikom,nigeria
10,5.712264243,5.968216451,Uvwie,nigeria
11,6.265299303,8.002217204,Ezza North,nigeria
12,6.624212401,5.904809714,Uhunmwonde,nigeria
13,7.702917744,5.313143042,Irepodun/Ifelodun,nigeria
14,6.534149086,7.421035139,Udi,nigeria
15,8.861415757,7.141681955,Kwali,nigeria
16,10.40537313,11.24460027,Kwami,nigeria
17,5.550265142,7.046854336,Mbaitoli,nigeria
18,12.2160984,9.550489077,Miga,nigeria
19,10.35547619,7.706192108,Kajuru,nigeria
20,11.73613018,8.513338298,Bunkure,nigeria
21,12.37258025,7.630834127,Kankia,nigeria
22,11.76624059,4.500704794,Maiyama,nigeria
23,7.716356483,6.696041999,Ajaokuta,nigeria
24,8.98254625,4.372564825,Moro,nigeria
25,6.527058221,3.564947176,Lagos Island,nigeria
26,8.498860988,8.187252579,Nasarawa,nigeria
27,9.935978637,5.601163648,Mashegu,nigeria
28,7.001702312,3.46704843,Obafemi Owode,nigeria
29,6.908721983,5.156999899,Idanre,nigeria
30,7.534717061,4.536133449,Ife Central,nigeria
31,8.143664023,3.618845739,Itesiwaju,nigeria
32,9.209895319,9.547155074,Pankshin,nigeria
33,4.860419854,6.925185324,Obio/Akpor,nigeria
34,13.03491335,5.317572021,Kware,nigeria
35,8.03370854,10.82957833,Bali,nigeria
36,12.29732174,11.44302555,Tarmua,nigeria
37,12.08847234,6.261731966,Anka,nigeria
