codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
1,0,0,0,1,6,0,0,0,0,0,0,0,0,12,21,0
2,0,1,3,4,2,0,0,0,0,0,0,0,6,8,42,0
3,2,4,1,22,1,0,59,0,0,0,0,0,25,0,74,3
4,2,17,10,34,22,0,117,1,0,0,0,0,17,42,459,29
5,8,7,6,50,17,0,112,1,0,0,0,1,44,47,282,41
6,4,11,6,30,29,1,138,0,0,0,0,3,24,32,694,31
7,0,1,0,7,4,0,0,0,0,0,0,0,12,12,90,1
8,0,1,1,1,1,0,0,0,0,0,0,0,0,20,24,0
9,0,1,0,1,1,0,0,0,0,0,0,0,1,17,37,0
10,0,1,2,6,3,0,0,0,0,0,0,1,0,19,73,1
11,3,1,2,6,1,0,5,0,0,0,0,0,0,8,29,0
12,0,1,1,111,0,0,0,0,0,0,0,0,0,18,40,1
13,0,0,2,7,6,0,0,0,0,0,0,0,0,20,113,0
14,1,0,2,7,1,0,0,0,0,0,0,0,0,62,101,0
15,2,10,7,23,11,0,145,0,0,0,0,16,58,45,1240,50
16,0,4,4,11,7,0,132,0,0,0,0,0,14,30,1937,15
17,2,12,21,22,1,0,137,0,0,0,0,0,4,50,1286,9
18,1,3,1,2,2,0,54,0,0,0,0,0,5,15,0,14
19,0,1,2,2,1,0,92,0,0,0,0,2,0,50,28,18
20,0,2,6,142,0,0,4,0,1,0,0,1,53,43,148,48
21,1,6,6,84,3,0,38,0,0,0,0,0,5,22,107,1
22,0,7,1,336,2,0,79,0,0,0,0,0,2,82,293,14
23,0,5,4,284,7,0,251,0,0,0,0,0,4,58,211,9
24,11,9,8,402,55,0,197,0,0,0,0,5,32,9,212,43
25,50,19,12,73,125,2,25,2,1,0,0,9,35,77,77,98
26,19,5,10,24,43,0,88,0,2,0,0,4,42,88,28,19
27,246,85,57,233,452,22,295,9,4,0,0,14,234,286,187,328
28,1,9,2,352,5,0,63,0,0,0,0,1,38,20,208,18
29,2,4,6,73,1,0,0,0,0,0,0,0,12,15,32,2
30,22,6,5,240,34,0,54,0,0,0,0,0,5,0,163,23
31,4,7,5,310,9,0,174,0,1,0,0,1,0,79,249,17
32,0,0,1,6,6,0,79,0,0,0,0,0,0,21,6,18
33,3,2,2,17,37,0,302,0,0,0,0,0,0,62,8,7
34,1,8,3,16,9,1,17,0,0,0,0,0,1,64,20,22
35,28,47,19,130,99,0,199,0,0,0,0,4,5,58,268,34
36,14,11,9,232,24,0,31,0,0,0,0,0,0,0,357,3
37,3,12,5,23,20,0,20,0,0,0,0,1,0,20,174,2
38,9,5,1,28,24,0,137,0,0,0,0,1,0,25,458,15
39,1,11,1,29,2,0,18,0,0,0,0,0,0,26,95,13
40,346,4,28,55,420,1,227,0,1,0,0,4,168,193,243,76
41,1,1,3,3,3,0,0,0,0,0,0,0,0,0,60,1
42,1,0,4,8,2,0,0,0,0,0,0,0,0,23,178,8
43,0,1,2,7,1,0,0,0,0,0,0,1,0,33,296,0
44,1,7,2,36,11,0,7,0,0,0,0,0,0,2,99,1
45,1,0,1,1,0,0,0,0,0,0,0,0,0,30,48,0
46,0,24,0,9,1,0,0,0,0,0,0,0,0,14,105,3
47,1,2,2,16,4,0,54,0,0,0,0,1,0,29,206,28
48,3,9,7,72,29,0,200,0,0,0,0,1,12,61,157,20
49,1,7,10,169,86,0,91,0,0,0,0,3,35,54,4,28
50,3,4,1,24,3,0,149,0,0,0,0,0,5,48,19,20
51,0,2,2,0,13,0,0,0,0,0,0,0,0,55,0,20
52,1,2,1,2,0,0,0,0,0,0,0,0,0,43,26,31
53,0,2,1,2,0,0,0,0,0,0,0,0,0,22,4,20
54,0,0,1,29,0,0,0,0,0,0,0,0,0,34,104,0
55,0,0,0,1,1,0,0,0,0,0,0,0,34,16,6,1
56,4,3,1,19,48,0,178,0,1,0,0,1,57,33,13,49
57,67,18,19,102,87,0,143,0,1,0,0,0,27,74,27,1
58,5,1,2,15,3,0,30,0,0,0,0,0,68,18,30,4
59,0,1,1,22,7,0,0,0,0,0,0,3,81,65,5,2
60,0,15,0,0,1,0,0,0,0,0,0,0,0,43,13,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
62,0,1,1,3,1,0,0,0,0,0,0,0,0,0,217,0
63,0,0,1,2,1,0,0,0,0,0,0,0,0,14,16,0
64,0,2,3,1,0,0,0,0,0,0,0,5,0,17,13,3
65,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0
66,0,0,3,21,4,0,0,0,0,0,0,0,0,0,2,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0
68,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0
69,0,4,2,3,0,0,0,0,0,0,0,0,0,24,0,0
70,0,3,1,2,1,0,51,0,0,0,0,0,0,36,1,0
71,6,6,5,31,23,0,347,0,0,0,0,0,41,17,67,21
72,1,0,0,19,2,0,138,0,0,0,0,1,0,27,24,1
73,0,2,1,5,0,0,124,0,0,0,0,0,0,16,0,0
74,0,0,0,3,0,0,91,0,0,0,0,0,2,39,2,8
75,0,1,0,4,0,0,14,0,0,0,0,0,0,10,4,0
